Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region
Eslovenia,1774,1868,2420,2591,2035,1722,1734,1516,1536,1890,2163,2547,2687,3035,Europa
EspaÃ±a,204030,260252,277255,284512,215669,287163,279530,278812,282255,310123,333306,361498,377346,386257,Europa
Estonia,664,1030,1295,1528,1383,1053,1203,1697,1499,2041,2278,2389,2959,2800,Europa
"Faroe, Islas",0,0,0,0,0,3,2,1,0,1,1,0,0,1,Europa
Finlandia,7710,10183,9656,10332,10128,10348,10141,11688,12648,13857,13132,13030,14963,13722,Europa
Francia,159119,172322,190118,208284,164236,170250,186778,202855,199866,213863,221957,233901,260821,286848,Europa
Gibraltar,0,0,0,0,1,-,3,3,1,1,0,0,3,1,Europa
Grecia,3132,3499,3721,4393,2942,3551,3612,3408,3766,4166,4347,5010,5256,5880,Europa
HungrÃ­a,5047,5645,7286,6842,5181,5239,5549,5749,6368,7364,7902,8919,10051,11736,Europa
Irlanda,9106,12814,13912,15533,11523,13213,14179,15677,18985,21891,24228,26112,28705,31094,Europa
Islandia,1042,1193,768,1057,551,851,818,820,825,913,1049,1177,1573,2478,Europa
Italia,151116,162722,165453,167415,108547,133292,150690,156532,154325,170990,174128,178109,192826,183913,Europa
Letonia,356,533,608,750,603,911,1467,1623,2069,2134,2256,2613,2632,2829,Europa
Liechtenstein,119,139,146,149,137,137,140,167,169,204,190,234,255,263,Europa
Lituania,1438,2237,2560,3495,2686,2333,2749,3058,3372,3799,4101,4642,5726,5995,Europa
Luxemburgo,914,958,942,943,757,947,1048,927,1044,1245,1425,1476,1876,1753,Europa
Macedonia,156,205,245,271,234,311,405,373,469,551,646,675,882,970,Europa
Malta,214,221,255,276,208,214,258,293,365,457,444,544,550,644,Europa
Moldavia,165,182,259,353,404,488,609,783,926,941,1080,1023,1193,1386,Europa
MÃ³naco,66,75,75,69,49,69,89,92,65,123,111,127,125,121,Europa
Montenegro,0,0,47,197,104,143,162,188,204,224,306,292,372,374,Europa
Noruega,8748,10155,11851,12538,10951,12933,14378,16422,16307,16240,15282,12582,13143,13759,Europa
PaÃ­ses Bajos (Holanda),61341,69565,72213,75864,58317,68964,67821,63159,57700,58499,60611,63479,74339,81475,Europa
Polonia,12825,15260,20761,28259,23055,23412,26450,23776,26450,31546,37384,39658,50741,49279,Europa
Portugal,21488,31086,38144,37751,26312,48630,43459,38877,33079,32782,36474,42159,47151,49172,Europa
Reino Unido,230564,258677,283025,311113,257367,295831,330071,363142,414039,458932,505954,545055,563099,590945,Europa
Rumania,2287,3025,4991,6597,4825,6613,8637,10100,10499,11849,12676,14816,15117,15747,Europa
Rusia,6466,7398,10469,12021,11600,27137,41944,77034,107770,85006,32337,30687,37279,64282,Europa
San Marino,144,132,178,134,71,102,81,97,93,112,104,137,92,73,Europa
Serbia17,720,970,1254,1180,1022,1285,1668,1614,1757,2077,2547,2779,3341,3933,Europa
Suecia,20129,21571,22427,22005,18375,21779,27107,36867,43156,44568,45627,44518,40544,40031,Europa
Suiza,25415,27942,30558,30334,25090,28675,29550,31328,31879,33289,34078,38197,44438,46913,Europa
